# DocKG Multipass Analysis Pipeline - Run Parameters
# Run ID: d3f9cf29775d
# Generated: 2026-04-06T13:09:31.284872+00:00
# Corpus root: .
# Chunk strategy: sentence_group
# Sentences per chunk: 4
# Batch size: 20
# Sampling strategy: diversity
# Diversity clusters: 8
# Topic clusters: 8
# Supervised threshold: 0.3
# Random seed: 42
# Total files: 8
# Sampled files: 8
# Total chunks: 69
#
# ======== ENTRIES ========


# === Source: CHANGELOG.md ===
# Section: Changelog
pchunk:CHANGELOG.md:ddc9a17b | cluster:cluster_7 | 0.58 | unsupervised | this,https,project,adheres | All notable changes to this project will be documented in this file. The format is based on [Keep a Changelog](https://keepachangelog.com/en/1.0.0/), and this project adheres to [Semantic Versioning](https://semver.org/spec/v2.0.0.html).
pchunk:README.md:3e50c6fe | cluster:cluster_7 | 0.58 | unsupervised | license,elastic,co,elastic-license | [Elastic License 2.0](https://www.elastic.co/licensing/elastic-license) — see [LICENSE](LICENSE).

# === Source: commit.txt ===
pchunk:commit.txt:2d167687 | cluster:cluster_1 | 0.63 | unsupervised | py,runtime,base,class | fix(types): fix runtime attr bugs, align base sigs, clean mypy (v0.4.1) Fixes three runtime bugs uncovered by enabling follow_untyped_imports: - adapter.py: stats() accessed .node_count/.edge_count as attrs on the   dict returned by kg.stats(); correct keys are "total_nodes"/"total_edges" - snapshots.py: save_snapshot() dropped `force` kwarg from base class   (TypeError for callers using force=True); return type Path → Path | None - snapshots.py: capture() positional order was inverted vs base class;   added hotspots/issues params forwarded to super() Also: - Migrate pyproject.toml to PEP 621 [project] table; kg-snapshot added   as required runtime dep (git source, replaces optional kg_rag) - CLI --db/--lancedb default to None, resolved relative to --repo at   runtime — single-flag invocations now work correctly - follow_untyped_imports = true in mypy overrides for kg_snapshot.* - Remove stale # type: ignore[misc] on class defs; add cast() at   attribute-access sites in cmd_snapshot.py and test_query.py - Add .pycodekg/ to .gitignore (pycodekg index, parallel to .codekg/) - Bump version to 0.4.1
pchunk:commit.txt:7282d700 | cluster:cluster_7 | 0.57 | unsupervised | anthropic,claude,co-authored-by,com | Co-Authored-By: Claude Sonnet 4.6 <noreply@anthropic.com>

# === Source: release-notes.md ===
# Section: Added
pchunk:release-notes.md:960d4edc | cluster:cluster_1 | 0.70 | unsupervised | ftree_kg,src,analysis,py | - `src/ftree_kg/` — proper Python package namespace replacing the flat `src/` layout; Poetry now builds and installs the `ftree_kg` distribution correctly - `[[tool.mypy.overrides]]` for `ftree_kg.*` so mypy gracefully handles self-referential imports in isolated environments - `poetry.toml` — in-project virtualenv configuration (`in-project = true`) - Initial FileTreeKG scaffold with KGModule infrastructure - FileTreeKGExtractor for filesystem traversal - FileTreeKG module with build, query, pack, analyze operations - FileTreeKGAdapter for KGRAG federation (meta kind) - Comprehensive test suite for extractor and query operations - Full CLI (`ftreekg`) with `build`, `query`, `pack`, `analyze`, and `snapshot` subcommands - `src/ftree_kg/snapshots.py` — `SnapshotManager` with `capture`, `save_snapshot`, `load_snapshot` (including `"latest"` key), `list_snapshots`, and `diff_snapshots`; filesystem-specific metrics (`total_files`, `total_dirs`, `dir_node_counts` per top-level directory); delta tracking vs. previous and baseline snapshots; degenerate-snapshot guard; git tree hash / branch auto-detection - `src/ftree_kg/config.py` — reads `[tool.filetreekg]` from `pyproject.toml` for `include`/`exclude` dir lists; ships `DEFAULT_SKIP_DIRS` applied at every walk depth - `.claude/` tooling: agents, commands, plugins, and skills for Claude Code integration - `examples/query_examples.py` — runnable usage examples - `analysis/filetreekg_analysis.md` — architectural analysis report - `.pre-commit-config.yaml` and `.secrets.baseline` for pre-commit quality gates - `src/ftree_kg/cli/cmd_hooks.py` — `ftreekg hooks install` CLI command that writes a pre-commit hook into `.git/hooks/` - `FTreeKG.code-workspace` — VSCode workspace file for the project - `codekg_pyproject.toml` — reference pyproject.toml snippet showing CodeKG integration setup - `analysis/FTreeKG_analysis_20260321.md` — CodeKG architectural analysis report (2026-03-21, 936 nodes, grade D/55)
pchunk:release-notes.md:a562df9e | cluster:cluster_1 | 0.73 | unsupervised | src,ftree_kg,cli,filetreekg | - Renamed package root from `src/` (flat, uninstallable) to `src/ftree_kg/` and updated `pyproject.toml` `packages` declaration to `{include = "ftree_kg", from = "src"}` - All internal imports rewritten from `src.*` → `ftree_kg.*` across every module, CLI command, and test file - CLI entry points updated from `src.cli.*` → `ftree_kg.cli.*` - Removed `kg-rag` as a required dependency; `code-kg` and `doc-kg` remain as direct git-sourced dependencies - Removed `[tool.poetry.extras]` stanza (extras replaced by direct dependencies) - `ftreekg snapshot` promoted from stub to a proper subcommand group (`save`, `list`, `show`, `diff`) backed by `SnapshotManager` - Restructured source tree: `filetreekg/` → `src/ftree_kg/` and renamed package from `filetreekg` to `ftree-kg` - Tests relocated from `filetreekg/tests/` to `src/tests/` - `src/ftree_kg/snapshots.py` refactored as a thin layer over `kg_rag.snapshots`; `FtreeSnapshotManager` subclass adds filesystem-specific `SnapshotMetrics`/`SnapshotDelta` hydration and `files_delta`/`dirs_delta` in deltas - `src/ftree_kg/cli/main.py` registers all subcommand modules via explicit imports so CLI entry points resolve correctly at install time - Updated `poetry.lock` to Poetry 2.3.2 format
pchunk:release-notes.md:4bac3dd9 | cluster:cluster_1 | 0.70 | unsupervised | py,changelog,kg_rag,all | - Package was previously uninstallable via `pip install` / `poetry install` because `packages = [{include = "src"}]` included the entire `src/` directory rather than a named importable package - Removed stale `type: ignore` comments from `snapshots.py` made redundant by `[[tool.mypy.overrides]]` - Resolved cyclic import between `cli/main.py` and all `cmd_*.py` modules by extracting the Click group into `cli/group.py` - Guarded `from kg_rag.snapshots import ...` with `try/except ImportError` so the module loads cleanly when `kg_rag` is absent - CI type-check job now installs all extras so mypy can resolve `code_kg` and `kg_rag` imports --- _Full changelog: [CHANGELOG.md](CHANGELOG.md)_

# === Source: analysis/FTreeKG_analysis_20260321.md ===
pchunk:analysis/FTreeKG_analysis_20260321.md:8e425539 | cluster:cluster_7 | 0.58 | unsupervised | directories,all,analysis,arm | > **Analysis Report Metadata** > - **Generated:** 2026-03-21T02:54:21Z > - **Version:** code-kg 0.9.2 > - **Commit:** 71e3976 (main) > - **Platform:** macOS 26.3.1 | arm64 (arm) | Turing | Python 3.12.13 > - **Graph:** 936 nodes · 1015 edges (96 meaningful) > - **Included directories:** all > - **Excluded directories:** none > - **Elapsed time:** 3s
pchunk:analysis/FTreeKG_analysis_20260321.md:82d8b7ec | cluster:cluster_5 | 0.60 | unsupervised | analysis,quality,architectural,architecture | This report provides a comprehensive architectural analysis of the **FTreeKG** repository using CodeKG's knowledge graph. The analysis covers complexity hotspots, module coupling, key call chains, and code quality signals to guide refactoring and architecture decisions.  | Overall Quality | Grade | Score | |----------------|-------|-------| | [D] **Needs Work** | **D** | 55 / 100 |  ---
pchunk:analysis/FTreeKG_analysis_20260321.md:84261619 | cluster:cluster_2 | 0.60 | unsupervised | total,classes,edges,functions | | Metric | Value | |--------|-------| | **Total Nodes** | 936 | | **Total Edges** | 1015 | | **Modules** | 21 (of 21 total) | | **Functions** | 43 | | **Classes** | 6 | | **Methods** | 26 |
pchunk:analysis/FTreeKG_analysis_20260321.md:bb3328ca | cluster:cluster_2 | 0.58 | unsupervised | attr_access,calls,contains,count | | Relationship Type | Count | |-------------------|-------| | CALLS | 335 | | CONTAINS | 75 | | IMPORTS | 124 | | ATTR_ACCESS | 242 | | INHERITS | 4 | ---
pchunk:analysis/FTreeKG_analysis_20260321.md:0e0972af | cluster:cluster_0 | 0.63 | unsupervised | py,src,adapter,cli | Most-called functions are potential bottlenecks or core functionality. These functions are heavily depended upon across the codebase.  | # | Function | Module | Callers | |---|----------|--------|---------| | 1 | `FileTreeKG()` | src/module.py | **11** | | 2 | `stats()` | examples/query_examples.py | **9** | | 3 | `stats()` | src/adapter.py | **9** | | 4 | `query()` | src/adapter.py | **6** | | 5 | `build()` | src/cli/cmd_build.py | **6** | | 6 | `query()` | src/cli/cmd_query.py | **6** | | 7 | `pack()` | src/adapter.py | **5** | | 8 | `pack()` | src/cli/cmd_query.py | **5** | | 9 | `save_snapshot()` | src/cli/cmd_snapshot.py | **5** | | 10 | `pack()` | src/module.py | **5** | | 11 | `capture()` | src/snapshots.py | **5** | | 12 | `save_snapshot()` | src/snapshots.py | **5** | | 13 | `_load()` | src/adapter.py | **4** | | 14 | `load_snapshot()` | src/snapshots.py | **4** | | 15 | `analyze()` | examples/query_examples.py | **4** |   **Insight:** Functions with high fan-in are either core APIs or bottlenecks. Review these for: - Thread safety and performance - Clear documentation and contracts - Potential for breaking changes  ---
pchunk:analysis/FTreeKG_analysis_20260321.md:1196e0f6 | cluster:cluster_0 | 0.60 | unsupervised | functions,architecture,call,complex | Functions that call many others may indicate complex orchestration logic or poor separation of concerns. No extreme high fan-out functions detected. Well-balanced architecture.  ---
pchunk:analysis/FTreeKG_analysis_20260321.md:af8ed558 | cluster:cluster_2 | 0.62 | unsupervised | py,src,cohesion,incoming | Top modules by dependency coupling and cohesion (showing up to 10 with activity). Cohesion = incoming / (incoming + outgoing + 1); higher = more internally focused.  | Module | Functions | Classes | Incoming | Outgoing | Cohesion | |--------|-----------|---------|----------|----------|----------| | `src/snapshots.py` | 5 | 3 | 0 | 0 | 0.00 | | `src/tests/test_query.py` | 10 | 0 | 0 | 1 | 0.50 | | `src/adapter.py` | 0 | 1 | 0 | 1 | 0.50 | | `src/extractor.py` | 0 | 1 | 3 | 1 | 0.20 | | `src/tests/test_extractor.py` | 8 | 0 | 0 | 1 | 0.50 | | `src/module.py` | 0 | 1 | 8 | 2 | 0.18 | | `src/cli/cmd_snapshot.py` | 5 | 0 | 2 | 3 | 0.50 | | `examples/query_examples.py` | 4 | 0 | 0 | 1 | 0.50 | | `src/config.py` | 3 | 0 | 3 | 0 | 0.00 | | `src/cli/cmd_query.py` | 2 | 0 | 2 | 3 | 0.50 |  ---
pchunk:analysis/FTreeKG_analysis_20260321.md:256e38ff | cluster:cluster_4 | 0.64 | unsupervised | chain,depth,basic_queries,call | Deepest call chains in the codebase. **Chain 1** (depth: 2) ``` basic_queries → FileTreeKG ``` **Chain 2** (depth: 3)
pchunk:analysis/FTreeKG_analysis_20260321.md:32f45de4 | cluster:cluster_4 | 0.69 | unsupervised | stats,chain,depth,build | ``` stats → stats → build ``` **Chain 3** (depth: 4) ``` stats → stats → _load → FileTreeKG ``` **Chain 4** (depth: 4)
pchunk:analysis/FTreeKG_analysis_20260321.md:725c1c9a | cluster:cluster_4 | 0.69 | unsupervised | basic_queries,filetreekg,build,chain | ``` basic_queries → query → _load → FileTreeKG ``` **Chain 5** (depth: 4) ``` basic_queries → build → stats → FileTreeKG ``` ---
pchunk:analysis/FTreeKG_analysis_20260321.md:96d0c390 | cluster:cluster_2 | 0.63 | unsupervised | py,src,function,class | Identified public APIs (module-level functions with high usage). | Function | Module | Fan-In | Type | |----------|--------|--------|------| | `FileTreeKG()` | src/module.py | 11 | class | | `stats()` | examples/query_examples.py | 9 | function | | `build()` | src/cli/cmd_build.py | 6 | function | | `query()` | src/cli/cmd_query.py | 6 | function | | `pack()` | src/cli/cmd_query.py | 5 | function | | `save_snapshot()` | src/cli/cmd_snapshot.py | 5 | function | | `analyze()` | examples/query_examples.py | 4 | function | | `FileTreeKGExtractor()` | src/extractor.py | 2 | class | | `SnapshotDelta()` | src/snapshots.py | 1 | class | | `SnapshotMetrics()` | src/snapshots.py | 1 | class | ---
pchunk:analysis/FTreeKG_analysis_20260321.md:479beb5c | implementation | 0.44 | supervised | ok,coverage,docstring,docstrings | Docstring coverage directly determines semantic retrieval quality. Nodes without docstrings embed only structured identifiers (`KIND/NAME/QUALNAME/MODULE`), where keyword search is as effective as vector embeddings. The semantic model earns its value only when a docstring is present.  | Kind | Documented | Total | Coverage | |------|-----------|-------|----------| | `function` | 25 | 43 | [WARN] 58.1% | | `method` | 21 | 26 | [OK] 80.8% | | `class` | 6 | 6 | [OK] 100.0% | | `module` | 20 | 21 | [OK] 95.2% | | **total** | **72** | **96** | **[WARN] 75.0%** |  > **Recommendation:** 24 nodes lack docstrings. Prioritize documenting high-fan-in functions and public API surface first — these have the highest impact on query accuracy.  ---
pchunk:analysis/FTreeKG_analysis_20260321.md:30de6ca6 | cluster:cluster_2 | 0.64 | unsupervised | py,src,cli,module | Weighted PageRank aggregated by module — reveals architectural spine. Cross-module edges boosted 1.5×; private symbols penalized 0.85×. Node-level detail: `codekg centrality --top 25`  | Rank | Score | Members | Module | |------|-------|---------|--------| | 1 | 0.166081 | 2 | `src/cli/group.py` | | 2 | 0.157023 | 7 | `src/module.py` | | 3 | 0.141755 | 16 | `src/snapshots.py` | | 4 | 0.118407 | 9 | `src/adapter.py` | | 5 | 0.097486 | 9 | `src/extractor.py` | | 6 | 0.051751 | 4 | `src/config.py` | | 7 | 0.049642 | 5 | `examples/query_examples.py` | | 8 | 0.048105 | 3 | `src/cli/cmd_query.py` | | 9 | 0.045077 | 6 | `src/cli/cmd_snapshot.py` | | 10 | 0.032874 | 11 | `src/tests/test_query.py` | | 11 | 0.027079 | 9 | `src/tests/test_extractor.py` | | 12 | 0.020250 | 2 | `src/cli/cmd_build.py` | | 13 | 0.013211 | 2 | `src/cli/main.py` | | 14 | 0.011455 | 2 | `src/cli/cmd_analyze.py` | | 15 | 0.008086 | 2 | `conftest.py` |    ---
pchunk:analysis/FTreeKG_analysis_20260321.md:3b7da9fb | cluster:cluster_0 | 0.66 | unsupervised | warn,archiving,bm25,consider | - [WARN] Moderate docstring coverage (75.0%) — semantic retrieval quality is degraded for undocumented nodes; BM25 is as effective as embeddings without docstrings - [WARN] 7 orphaned functions found (`extractor`, `test_snapshot_diff`, `test_node_id_format`, `test_snapshot_round_trip`, `test_extract_yields_specs`, `test_node_ids_are_stable`, `test_pack_snippets_have_content`) -- consider archiving or documenting ---
pchunk:analysis/FTreeKG_analysis_20260321.md:36b24586 | cluster:cluster_0 | 0.59 | unsupervised | functions,god,core,detected | - Well-structured with 15 core functions identified - No god objects or god functions detected ---
pchunk:analysis/FTreeKG_analysis_20260321.md:f4eb3d3d | cluster:cluster_0 | 0.68 | unsupervised | functions,add,apis,archive | 1. **Improve docstring coverage** — 24 nodes lack docstrings; prioritize high-fan-in functions and public APIs first for maximum semantic retrieval gain 2. **Remove or archive orphaned functions** — `extractor`, `test_snapshot_diff`, `test_node_id_format`, `test_snapshot_round_trip`, `test_extract_yields_specs` (and 2 more) have zero callers and add maintenance burden
pchunk:analysis/FTreeKG_analysis_20260321.md:243746de | cluster:cluster_4 | 0.65 | unsupervised | call,chains,stats,add | 1. **Harden high fan-in functions** — `FileTreeKG`, `stats`, `stats` are widely depended upon; review for thread safety, clear contracts, and stable interfaces 2. **Reduce module coupling** — consider splitting tightly coupled modules or introducing interface boundaries 3. **Add tests for key call chains** — the identified call chains represent well-traveled execution paths that benefit most from regression coverage
pchunk:analysis/FTreeKG_analysis_20260321.md:ea475586 | cluster:cluster_4 | 0.63 | unsupervised | add,api,boundaries,breaking-change | 1. **Version and stabilize the public API** — document breaking-change policies for `FileTreeKG`, `stats`, `build` 2. **Enforce layer boundaries** — add linting or CI checks to prevent unexpected cross-module dependencies as the codebase grows 3. **Monitor hot paths** — instrument the high fan-in functions identified here to catch performance regressions early ---
pchunk:analysis/FTreeKG_analysis_20260321.md:57e15fca | cluster:cluster_4 | 0.62 | unsupervised | py,src,depth,module | **4** INHERITS edges across **4** classes. Max depth: **0**.  | Class | Module | Depth | Parents | Children | |-------|--------|-------|---------|----------| | `FileTreeKGAdapter` | src/adapter.py | 0 | 1 | 0 | | `FileTreeKGExtractor` | src/extractor.py | 0 | 1 | 0 | | `FileTreeKG` | src/module.py | 0 | 1 | 0 | | `FtreeSnapshotManager` | src/snapshots.py | 0 | 1 | 0 |   ---
pchunk:analysis/FTreeKG_analysis_20260321.md:61b6a6e4 | cluster:cluster_0 | 0.57 | unsupervised | coverage,edges,nodes,branch | Recent snapshots in reverse chronological order. Δ columns show change vs. the immediately preceding snapshot. | # | Timestamp | Branch | Version | Nodes | Edges | Coverage | Δ Nodes | Δ Edges | Δ Coverage | |---|-----------|--------|---------|-------|-------|----------|---------|---------|------------| | 1 | 2026-03-15 04:45:52 | main | v0.1.0 | 294 | 312 | 53.3% | — | — | — | ---
pchunk:analysis/FTreeKG_analysis_20260321.md:69a9a3d8 | cluster:cluster_0 | 0.63 | unsupervised | py,src,tests,test_extractor | Functions with zero callers (potential dead code): | Function | Module | Lines | |----------|--------|-------| | `test_snapshot_round_trip()` | src/tests/test_query.py | 26 | | `test_snapshot_diff()` | src/tests/test_query.py | 15 | | `extractor()` | src/tests/test_extractor.py | 6 | | `test_extract_yields_specs()` | src/tests/test_extractor.py | 6 | | `test_node_id_format()` | src/tests/test_extractor.py | 5 | | `test_pack_snippets_have_content()` | src/tests/test_query.py | 4 | | `test_node_ids_are_stable()` | src/tests/test_extractor.py | 3 | ---
pchunk:analysis/FTreeKG_analysis_20260321.md:516eea51 | implementation | 0.44 | supervised | py,src,snapshots,function | Weighted PageRank over CALLS + IMPORTS + INHERITS edges (test paths excluded). Scores are normalized to sum to 1.0. This ranking seeds Phase 2 fan-in discovery and Phase 15 concern queries.  | Rank | Score | Kind | Name | Module | |------|-------|------|------|--------| | 1 | 0.003408 | method | `FileTreeKGAdapter._load` | src/adapter.py | | 2 | 0.003175 | function | `_load_dir_list` | src/config.py | | 3 | 0.002515 | method | `FileTreeKGExtractor.node_kinds` | src/extractor.py | | 4 | 0.002238 | class | `SnapshotDelta` | src/snapshots.py | | 5 | 0.002213 | function | `_hydrate_snapshot` | src/snapshots.py | | 6 | 0.001928 | function | `metrics_from_dict` | src/snapshots.py | | 7 | 0.001928 | function | `delta_from_dict` | src/snapshots.py | | 8 | 0.001692 | class | `SnapshotMetrics` | src/snapshots.py | | 9 | 0.001576 | method | `FileTreeKGExtractor.meaningful_node_kinds` | src/extractor.py | | 10 | 0.001552 | function | `metrics_to_dict` | src/snapshots.py | | 11 | 0.001426 | method | `FtreeSnapshotManager._collect_dir_node_counts` | src/snapshots.py | | 12 | 0.001398 | function | `delta_to_dict` | src/snapshots.py | | 13 | 0.001357 | method | `FileTreeKGExtractor._get_metadata` | src/extractor.py | | 14 | 0.001330 | method | `FtreeSnapshotManager.load_snapshot` | src/snapshots.py | | 15 | 0.001330 | method | `FtreeSnapshotManager._compute_delta_from_metrics` | src/snapshots.py | | 16 | 0.001176 | module | `conftest` | conftest.py | | 17 | 0.001176 | function | `sample_filesystem` | conftest.py | | 18 | 0.001176 | module | `query_examples` | examples/query_examples.py | | 19 | 0.001176 | function | `basic_queries` | examples/query_examples.py | | 20 | 0.001176 | function | `pack_snippets` | examples/query_examples.py |  ---
pchunk:analysis/FTreeKG_analysis_20260321.md:4c09b073 | cluster:cluster_7 | 0.59 | unsupervised | architectural,coderank,concern,graph | Top structurally-dominant nodes per architectural concern (0.60 × semantic + 0.25 × CodeRank + 0.15 × graph proximity).
